datetime,magnitude,latitude,longitude,depth
2017-01-12 10:26:58,5.0,19.4356,-99.1453,39.0
2017-02-02 00:52:09,3.7,19.4356,-99.1453,8.0
2017-02-13 07:29:30,5.0,19.4356,-99.1453,8.0
2017-08-18 05:15:12,5.3,19.4097,-99.145,5.0
2017-09-08 04:49:17,8.2,19.429,-99.0584,45.0
2017-09-19 18:14:39,7.1,19.429,-99.0584,51.0
2017-09-23 12:53:01,6.1,19.429,-99.0584,10.0
2017-12-25 20:23:11,5.0,19.4653,-99.1047,21.0
